,MODEL_YEAR,MAKE,MODEL,VEHICLE_CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL_CONS_CITY,HWY_L100,COMB_L100,COMB_mpg,CO2_EMISSIONS
0,2000,ACURA,1.6EL,COMPACT,1.6,4,A4,X,9.2,6.7,8.1,35,186
1,2000,ACURA,1.6EL,COMPACT,1.6,4,M5,X,8.5,6.5,7.6,37,175
2,2000,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.2,7.4,10.0,28,230
3,2000,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.4,9.2,11.5,25,264
4,2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,10.0,7.0,8.6,33,198
5,2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,9.3,6.8,8.2,34,189
6,2000,ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,9.4,7.0,8.3,34,191
7,2000,ACURA,NSX,SUBCOMPACT,3.0,6,AS4,Z,13.6,9.2,11.6,24,267
8,2000,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,13.8,9.1,11.7,24,269
9,2000,AUDI,A4,COMPACT,1.8,4,A5,Z,11.4,7.2,9.5,30,218
10,2000,AUDI,A4,COMPACT,1.8,4,M5,Z,9.7,6.8,8.4,34,193
11,2000,AUDI,A4,COMPACT,2.8,6,A5,Z,13.0,8.2,10.8,26,248
12,2000,AUDI,A4,COMPACT,2.8,6,M5,Z,11.7,7.5,9.8,29,225
13,2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,12.1,7.7,10.1,28,232
14,2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,10.7,7.5,9.3,30,214
15,2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,13.3,8.5,11.1,25,255
16,2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,12.7,8.7,10.9,26,251
17,2000,AUDI,A6,MID-SIZE,2.8,6,A5,Z,13.4,8.6,11.2,25,258
18,2000,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,A5,Z,13.8,9.1,11.7,24,269
19,2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,13.6,9.0,11.5,25,264
20,2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.6,9.1,11.6,24,267
21,2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,13.8,9.1,11.7,24,269
