District,Zone,Geographical Region,Development Region,Year AD,Year BS,Total,Male,Female
Bajhang,Seti,Mountain,Far-Western,2008,2065,75529,42903,32626
Bajhang,Seti,Mountain,Far-Western,2009,2066,77962,43116,34846
Bajhang,Seti,Mountain,Far-Western,2010,2067,73460,39332,34128
Bajhang,Seti,Mountain,Far-Western,2011,2068,75943,39719,36224
Bajhang,Seti,Mountain,Far-Western,2007,2064,57837,34225,23612
Dadeldhura,Mahakali,Hill,Far-Western,2008,2065,43625,21747,21878
Dadeldhura,Mahakali,Hill,Far-Western,2009,2066,45811,22925,22886
Dadeldhura,Mahakali,Hill,Far-Western,2010,2067,46507,22885,23622
Dadeldhura,Mahakali,Hill,Far-Western,2011,2068,46854,22994,23860
Dadeldhura,Mahakali,Hill,Far-Western,2007,2064,42417,21678,20739
Arghakhanchi,Lumbini,Hill,Western,2008,2065,72009,35182,36827
Arghakhanchi,Lumbini,Hill,Western,2009,2066,69822,33849,35973
Arghakhanchi,Lumbini,Hill,Western,2010,2067,67777,32834,34943
Arghakhanchi,Lumbini,Hill,Western,2011,2068,65260,31667,33593
Arghakhanchi,Lumbini,Hill,Western,2007,2064,71610,35247,36363
Darchaula,Mahakali,Mountain,Far-Western,2008,2065,39628,20615,19013
Darchaula,Mahakali,Mountain,Far-Western,2009,2066,43123,21931,21192
Darchaula,Mahakali,Mountain,Far-Western,2010,2067,45003,22484,22519
Darchaula,Mahakali,Mountain,Far-Western,2011,2068,45205,22354,22851
Darchaula,Mahakali,Mountain,Far-Western,2007,2064,34432,18213,16220
Chitawan,Narayani,Terai,Central,2008,2065,147366,73990,73376
Chitawan,Narayani,Terai,Central,2009,2066,144042,71899,72143
Chitawan,Narayani,Terai,Central,2010,2067,146127,73211,72916
Chitawan,Narayani,Terai,Central,2011,2068,143740,72216,71524
Chitawan,Narayani,Terai,Central,2007,2064,147263,74047,73216
Panchthar,Mechi,Hill,Eastern,2008,2065,75679,36767,38912
Panchthar,Mechi,Hill,Eastern,2009,2066,73260,35256,38004
Panchthar,Mechi,Hill,Eastern,2010,2067,77169,36856,40313
Panchthar,Mechi,Hill,Eastern,2011,2068,75196,35687,39509
Panchthar,Mechi,Hill,Eastern,2007,2064,75847,37392,38456
Sindhupalchok,Bagmati,Mountain,Central,2008,2065,89228,44203,45025
Sindhupalchok,Bagmati,Mountain,Central,2009,2066,65952,32297,33655
